Вес,Тип вилки,Тип рамы,Тип велосипеда,Тормоза,Название,Ссылка на фото,Популярность посещения сайта (в неделю),Цена,Скидка
28.4 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Передний: тормоз V-типа /  задний: барабанный (ленточный),Велосипед Stels Energy III 26 V030 (2018),https://www.velosklad.ru/i/models/big/17676.jpg,106,34990,0.34
45 кг.,Пружинно-эластомерная,Сталь,Грузовые и другие->С мотором,"Передний V-BRAKE, задний барабанный тормоз",Велосипед Eltreco GM Porter (2015),https://www.velosklad.ru/i/models/big/12895.jpg,115,40600,0.10
27.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Linear-pull / Coaster,Велосипед Schwinn Town & Country (2018),https://www.velosklad.ru/i/models/big/17091.jpg,101,40950,
23 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Alloy V-Brake & Coaster,Велосипед Schwinn Town Country (2015),https://www.velosklad.ru/i/models/big/13073.jpg,102,47990,
29.5 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,Ободной (V-Brake) + задний роллерный,Велосипед Stels Energy VI 26 V010 (2022),https://www.velosklad.ru/i/models/big/24764.jpg,140,43870,0.10
29.5 кг.,Жесткая,Сталь,Грузовые и другие->Трехколесные,"Передний: ручной V-brake, задний: ножной",Велосипед Stels Energy VI 26 V010 (2017),https://www.velosklad.ru/i/models/big/17187.jpg,106,40550,0.15
28 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,"Передний: ручной V-brake, задний: барабанный",Велосипед Stels Energy III 26 V030 (2017),https://www.velosklad.ru/i/models/big/16657.jpg,106,38920,0.10
26 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,Alloy linear-pull,Велосипед Schwinn Meridian 26 (2018),https://www.velosklad.ru/i/models/big/17084.jpg,100,46140,
27.5 кг.,Жесткая,Алюминий,Грузовые и другие->Трехколесные,(F) Linear-pull; (R) Coaster,Велосипед Schwinn Town & Country (2020),https://www.velosklad.ru/i/models/big/20440.jpg,101,46990,
51 кг.,Пружинно-эластомерная,Сталь,Электровелосипеды->Грузовые,Promax V-brake / дисковые механические,Велосипед Crolan 350W (2018),https://www.velosklad.ru/i/models/big/18377.jpg,192,54900,
40 кг.,Жесткая,Сталь,Грузовые и другие->С мотором,"Передний ручной V-brake, задний барабанный",Велосипед Izh-bike Фермер (2018),https://www.velosklad.ru/i/models/big/17343.jpg,124,56999,
25 кг.,,Алюминий 6061,Грузовые и другие->Трехколесные,дисковый / Shimano Nexus роликовый + стояночный тормоз,Велосипед Eltreco Taga Standart (2015),https://www.velosklad.ru/i/models/big/13176.jpg,127,64330,
45 кг.,Пружинно-эластомерная,Сталь,Грузовые и другие->С мотором,"Передний V-brake, задний барабанный тормоз",Велосипед Eltreco GM Porter (2016),https://www.velosklad.ru/i/models/big/14482.jpg,113,62900,
51 кг.,Пружинно-эластомерная,Сталь,Грузовые и другие->С мотором,V-brake Promax  / роллерные,Велосипед Eltreco GM Porter (2017),https://www.velosklad.ru/i/models/big/15945.jpg,98,59750,
51 кг.,Пружинно-эластомерная,Алюминий,Электровелосипеды->Грузовые,Promax V-brake / дисковые механические,Велосипед Crolan 500W (2018),https://www.velosklad.ru/i/models/big/17846.jpg,169,75900,
45 кг.,Пружинно-эластомерная,Сталь,Грузовые и другие->С мотором,"Передний V-brake, задний барабанный тормоз",Велосипед Eltreco E-Tricycle (GM Porter) (2015),https://www.velosklad.ru/i/models/big/12892.jpg,106,77900,
51 кг.,Пружинно-эластомерная,Сталь,Электровелосипеды->Грузовые,"Передний тормоз - дисковый механический, задний - барабанный",Велосипед Eltreco Green City e-Alfa Trike (2022),https://www.velosklad.ru/i/models/big/25422.jpg,147,99900,0.9
49.5 кг.,Пружинно-эластомерная,Алюминий,Электровелосипеды->Грузовые,"Передний - дисковый механический, задний - барабанный",Велосипед Eltreco Porter Fat 500 UP! (2023),https://www.velosklad.ru/i/models/big/26040.jpg,177,126900,0.10
